"omCrit","estCrit","obsCrit","trial","OvTrial","wind","CovOmCrit","OvOmCrit",
-89.8076,-73.1632,,315,,407,-71.0078,,
-89.8076,-67.9383,,316,,408,-71.0078,,
-89.8076,-67.9383,,317,,409,-71.0078,,
-89.8076,-67.9383,,318,,411,-71.0078,,
-89.8076,-67.9383,,319,,412,-71.0078,,
-89.8076,-67.9383,,320,,413,-71.0078,,
-89.8076,-67.9383,,321,,414,-71.0078,,
-89.8076,-67.9383,,322,,416,-71.0078,,
-89.8076,-60.9732,,323,,417,-71.0078,,
-89.8076,-63.3204,,324,,418,-71.0078,,
-89.8076,-63.3204,,325,,419,-71.0078,,
-89.8076,-63.3204,,326,,421,-71.0078,,
-89.8076,-63.3204,,327,,422,-71.0078,,
-89.8076,-63.3204,,328,,423,-71.0078,,
-89.8076,-63.3204,,329,,424,-71.0078,,
-89.8076,-63.3204,,330,,426,-71.0078,,
-89.8076,-60.3536,,331,,427,-71.0078,,
-89.8076,-59.8663,,332,,428,-71.0078,,
-89.8076,-59.8663,,333,,429,-71.0078,,
-89.8076,-59.8663,,334,,431,-71.0078,,
-89.8076,-59.8663,,335,,432,-71.0078,,
-89.8076,-59.8663,,336,,433,-71.0078,,
-89.8076,-60.3536,,337,,434,-71.0078,,
-89.8076,-63.3204,,338,,436,-71.0078,,
-89.8076,-63.3204,,339,,437,-71.0078,,
-89.8076,-61.2749,,340,,438,-71.0078,,
-89.8076,-63.3204,,341,,439,-71.0078,,
-89.8076,-63.3204,,342,,441,-71.0078,,
-89.8076,-63.3204,,343,,442,-71.0078,,
-89.8076,-63.3204,,344,,443,-71.0078,,
-89.8076,-65.2442,,345,,444,-71.0078,,
-89.8076,-65.2442,,346,,446,-71.0078,,
-89.8076,-80.1681,,347,,447,-71.0078,,
-89.8076,-80.1681,,348,,448,-71.0078,,
-89.8076,-80.1681,,349,,449,-71.0078,,
-89.8076,-80.1681,,350,,451,-71.0078,,
-89.8076,-80.1681,,351,,452,-71.0078,,
-89.8076,-80.1681,,352,,453,-71.0078,,
-89.8076,-80.1681,,353,,454,-71.0078,,
-89.8076,-80.1681,,354,,456,-71.0078,,
-89.8076,-80.1681,,355,,457,-71.0078,,
-89.8076,-80.1681,,356,,458,-71.0078,,
-89.8076,-80.1681,,357,,459,-71.0078,,
-89.8076,-80.1681,,358,,461,-71.0078,,
-89.8076,-80.1681,,359,,462,-71.0078,,
-89.8076,-80.1681,,360,,463,-71.0078,,
-89.8076,-80.1681,,361,,464,-71.0078,,
-89.8076,-80.1681,,362,,466,-71.0078,,
-89.8076,-80.1681,,363,,467,-71.0078,,
-89.8076,-80.1681,,364,,468,-71.0078,,
-89.8076,-80.1681,,365,,469,-71.0078,,
-89.8076,-80.1681,,366,,471,-71.0078,,
-89.8076,-80.1681,,367,,472,-80.4077,,
-89.8076,-80.1681,,368,,473,-80.4077,,
-89.8076,-80.1681,,369,,474,-80.4077,,
-89.8076,-80.1681,,370,,476,-80.4077,,
-89.8076,-80.1681,,371,,477,-80.4077,,
-89.8076,-80.1681,,372,,478,-80.4077,,
-89.8076,-80.1681,,373,,479,-80.4077,,
-89.8076,-80.1681,,374,,481,-80.4077,,
-89.8076,-80.1681,,375,,482,-80.4077,,
-71.0078,-80.1681,,376,,483,-80.4077,,
-71.0078,-69.9133,,377,,484,-80.4077,,
-71.0078,-71.1786,,378,,486,-80.4077,,
-71.0078,-72.3358,,379,,487,-80.4077,,
-71.0078,-72.3358,,380,,488,-80.4077,,
-71.0078,-72.3358,,381,,489,-80.4077,,
-71.0078,-71.1786,,382,,491,-80.4077,,
-71.0078,-64.3062,,383,,492,-80.4077,,
-71.0078,-64.3062,,384,,493,-80.4077,,
-71.0078,-65.2442,,385,,494,-80.4077,,
-71.0078,-66.1322,,386,,496,-80.4077,,
-71.0078,-66.1322,,387,,497,-80.4077,,
-71.0078,-66.972,,388,,498,-80.4077,,
-71.0078,-63.3204,,389,,499,-80.4077,,
-71.0078,-62.6415,,390,,501,-80.4077,,
-71.0078,-62.6415,,391,,502,-80.4077,,
-71.0078,-61.2749,,392,,503,-80.4077,,
-71.0078,-61.2749,,393,,504,-80.4077,,
-71.0078,-61.2749,,394,,506,-80.4077,,
-71.0078,-60.7898,,395,,507,-80.4077,,
-71.0078,-61.2749,,396,,508,-80.4077,,
-71.0078,-60.7898,,397,,509,-80.4077,,
-71.0078,-60.7898,,398,,511,-80.4077,,
-71.0078,-60.7898,,399,,512,-80.4077,,
-71.0078,-60.7898,,400,,513,-80.4077,,
-71.0078,-61.9542,,401,,514,-80.4077,,
-71.0078,-61.2749,,402,,516,-80.4077,,
-71.0078,-60.6372,,403,,517,-80.4077,,
-71.0078,-60.6372,,404,,518,-80.4077,,
-71.0078,-60.0145,,405,,519,-80.4077,,
-71.0078,-60.0145,,406,,521,-80.4077,,
-71.0078,-60.6372,,407,,522,-80.4077,,
-71.0078,-60.6372,,408,,523,-80.4077,,
-71.0078,-60.6372,,409,,524,-80.4077,,
-71.0078,-60.6372,,410,,526,-80.4077,,
-71.0078,-60.1124,,411,,527,-80.4077,,
-71.0078,-59.8663,,412,,528,-80.4077,,
-71.0078,-60.3536,,413,,529,-80.4077,,
-71.0078,-59.8663,,414,,531,-80.4077,,
-71.0078,-60.1124,,415,,532,-80.4077,,
-71.0078,-59.8663,,416,,533,-80.4077,,
-71.0078,-60.1124,,417,,534,-80.4077,,
-71.0078,-60.6372,,418,,536,-80.4077,,
-71.0078,-60.6372,,419,,537,-80.4077,,
-71.0078,-60.6372,,420,,538,-80.4077,,
-71.0078,-61.2749,,421,,539,-80.4077,,
-71.0078,-61.2749,,422,,541,-80.4077,,
-71.0078,-61.9542,,423,,542,-80.4077,,
-71.0078,-61.9542,,424,,543,-80.4077,,
-71.0078,-62.6415,,425,,544,-80.4077,,
-71.0078,-63.3204,,426,,546,-80.4077,,
-71.0078,-63.3204,,427,,547,-80.4077,,
-71.0078,-63.3204,,428,,548,-80.4077,,
-71.0078,-66.1322,,429,,549,-80.4077,,
-71.0078,-66.1322,,430,,551,-80.4077,,
-71.0078,-66.1322,,431,,552,-80.4077,,
-71.0078,-66.1322,,432,,553,-80.4077,,
-71.0078,-66.1322,,433,,554,-80.4077,,
-71.0078,-66.1322,,434,,556,-80.4077,,
-71.0078,-66.972,,435,,557,-80.4077,,
-71.0078,-63.9826,,436,,558,-80.4077,,
-71.0078,-63.9826,,437,,559,-80.4077,,
-71.0078,-63.9826,,438,,561,-80.4077,,
-71.0078,-63.9826,,439,,562,-80.4077,,
-71.0078,-64.6244,,440,,563,-80.4077,,
-71.0078,-64.6244,,441,,564,-80.4077,,
-71.0078,-62.2981,,442,,566,-80.4077,,
-71.0078,-61.2749,,443,,567,-80.4077,,
-71.0078,-61.2749,,444,,568,-80.4077,,
