"omCrit","estCrit","obsCrit","trial","OvTrial","wind","CovOmCrit","OvOmCrit",
116.5139,91.2367,,478,,611,70.1929,,
116.5139,109.5415,,479,,612,70.1929,,
116.5139,110.0369,,480,,613,70.1929,,
116.5139,112.1535,,481,,614,70.1929,,
116.5139,95.9164,,482,,616,70.1929,,
116.5139,95.9164,,483,,617,70.1929,,
116.5139,98.2689,,484,,618,70.1929,,
116.5139,100.4253,,485,,619,70.1929,,
116.5139,98.5251,,486,,621,70.1929,,
116.5139,98.5251,,487,,622,70.1929,,
116.5139,98.5251,,488,,623,83.0112,,
116.5139,98.5251,,489,,624,83.0112,,
116.5139,95.666,,490,,626,83.0112,,
116.5139,95.666,,491,,627,83.0112,,
116.5139,95.666,,492,,628,83.0112,,
116.5139,98.5251,,493,,629,83.0112,,
116.5139,98.5251,,494,,631,83.0112,,
116.5139,98.5251,,495,,632,83.0112,,
116.5139,95.666,,496,,633,83.0112,,
116.5139,95.666,,497,,634,83.0112,,
116.5139,93.3534,,498,,636,83.0112,,
116.5139,90.8642,,499,,637,83.0112,,
116.5139,90.8642,,500,,638,83.0112,,
116.5139,86.1738,,501,,639,83.0112,,
116.5139,88.1805,,502,,641,83.0112,,
116.5139,90.8642,,503,,642,83.0112,,
116.5139,88.1805,,504,,643,83.0112,,
116.5139,86.1738,,505,,644,83.0112,,
116.5139,102.2344,,506,,646,83.0112,,
70.1929,102.2344,,507,,647,83.0112,,
70.1929,101.6367,,508,,648,83.0112,,
70.1929,101.0622,,509,,649,83.0112,,
70.1929,101.6367,,510,,651,83.0112,,
70.1929,102.2344,,511,,652,83.0112,,
70.1929,102.2344,,512,,653,83.0112,,
70.1929,86.1738,,513,,654,83.0112,,
70.1929,90.8642,,514,,656,83.0112,,
70.1929,87.0852,,515,,657,83.0112,,
70.1929,87.0852,,516,,658,83.0112,,
70.1929,82.4569,,517,,659,83.0112,,
70.1929,82.4569,,518,,661,83.0112,,
70.1929,84.2626,,519,,662,83.0112,,
70.1929,84.2626,,520,,663,83.0112,,
70.1929,84.2626,,521,,664,83.0112,,
70.1929,88.8212,,522,,666,83.0112,,
70.1929,88.8212,,523,,667,83.0112,,
70.1929,91.6802,,524,,668,83.0112,,
